Location	alt_Name	latitude	longitude	lat_long	altitude_span	altitude	SOIUSA	SOIUSA_Grande_Parte	SOIUSA_Grande_Settore	SOIUSA_Sezione	SOIUSA_Sottosezione	SOIUSA_Supergruppo	SOIUSA_Gruppo	SOIUSA_Sottogruppo	SOIUSA_Codice
Monte Lera (Valle di Viù)		45.234042	7.150555	45.234042,7.150555	3000	3355	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Arnas-Ciamarella > Gruppo Autaret-Ovarda > Cresta Autaret-Lera-Arnas	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Arnas-Ciamarella	Gruppo Autaret-Ovarda	Cresta Autaret-Lera-Arnas	I/B-7.I-B.4.a
Monveso di Forzo		45.53805	7.41659	45.53805,7.41659	3000	3322	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Sengie-Chardonney > Nodo delle Sengie	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Sengie-Chardonney	Nodo delle Sengie	I/B-7.IV-A.4.a
Ortles		46.51056	10.54194	46.51056,10.54194	3500	3905	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Alpi dell'Ortles > Gruppo Ortles-Cevedale > Gruppo dell'Ortles > Gruppo Ortles-Gran Zebrù	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Alpi dell'Ortles	Gruppo Ortles-Cevedale	Gruppo dell'Ortles	Gruppo Ortles-Gran Zebrù	II/C-28.I-A.1.c
Pierre Menue		45.161154	6.767712	45.161154,6.767712	3500	3506	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Moncenisio > Catena Bernauda-Pierre Menue-Ambin > Gruppo della Pierre Menue > Sottogruppo della Pierre Menue	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Moncenisio	Catena Bernauda-Pierre Menue-Ambin	Gruppo della Pierre Menue	Sottogruppo della Pierre Menue	I/A-4.III-B.5.b
Punta Baretti		45.816666	6.86666	45.816666,6.86666	4000	4013	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Contrafforti italiani del Monte Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Contrafforti italiani del Monte Bianco	I/B-7.V-B.2.c/b
Freyaturm		47.526157	13.484001	47.526157,13.484001	1500	1991	Alpi Orientali > Alpi Nord-orientali > Alpi del Salzkammergut e dell'Alta Austria > Monti del Dachstein > Gruppo del Gosau > 	Alpi Orientali	Alpi Nord-orientali	Alpi del Salzkammergut e dell'Alta Austria	Monti del Dachstein	Gruppo del Gosau			II/B-25.I-A
Punta Fourà		45.475488	7.208169	45.475488,7.208169	3000	3411	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Ciarforon-Punta Fourà > Nodo di Punta Fourà	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Ciarforon-Punta Fourà	Nodo di Punta Fourà	I/B-7.IV-A.1.a
Punta Lunella		45.19703	7.21623	45.19703,7.21623	2500	2772	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Rocciamelone-Charbonnel > Gruppo del Rocciamelone > Cresta Lunella-Arpone	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Rocciamelone-Charbonnel	Gruppo del Rocciamelone	Cresta Lunella-Arpone	I/B-7.I-A.2.b
Aiguille du Grépon		45.903944	6.918533	45.903944,6.918533	3000	3482	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Catena delle Aiguilles de Chamonix > Gruppo Charmoz-Grépon	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Catena delle Aiguilles de Chamonix	Gruppo Charmoz-Grépon	I/B-7.V-B.3.d
Allalinhorn		46.04601	7.895	46.04601,7.895	4000	4027	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Massiccio dello Strahlhorn > Gruppo Strahlhorn - Allalinhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Massiccio dello Strahlhorn	Gruppo Strahlhorn - Allalinhorn	I/B-9.V-A.1.a
Becca di Chardoney		45.90841	7.40839	45.90841,7.40839	3000	3447	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Grand Combin > Catena Gelé-Collon > Gruppo della Becca Rayette	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Grand Combin	Catena Gelé-Collon	Gruppo della Becca Rayette		I/B-9.I-C.6
Blinnenhorn		46.425884	8.308368	46.425884,8.308368	3000	3374	Alpi Occidentali > Alpi Nord-occidentali > Alpi Lepontine > Alpi del Monte Leone e del San Gottardo > Catena Monte Leone-Blinnenhorn > Gruppo Blinnenhorn-Valrossa > Gruppo del Blinnenhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Lepontine	Alpi del Monte Leone e del San Gottardo	Catena Monte Leone-Blinnenhorn	Gruppo Blinnenhorn-Valrossa	Gruppo del Blinnenhorn	I/B-10.I-A.5.a
Campanile Alto		46.16438	10.893492	46.16438,10.893492	2500	2937	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Gruppo centrale di Brenta	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Gruppo centrale di Brenta	II/C-28.IV-A.1.e
Dürrenhorn		46.11972	7.84805	46.11972,7.84805	4000	4035	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Catena dei Mischabel p.d.	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Catena dei Mischabel p.d.		I/B-9.V-A.2
Lagginhorn		46.15722	8.00305	46.15722,8.00305	4000	4010	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Catena del Weissmies > Gruppo del Weissmies > Weissmies Fletschhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Catena del Weissmies	Gruppo del Weissmies	Weissmies Fletschhorn	I/B-9.V-C.6.a
Aiguille de la Vanoise		45.394722	6.779167	45.394722,6.779167	2500	2797	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi della Vanoise e del Grand Arc > Massiccio della Vanoise > Gruppo del Dôme de Chasseforêt > Nodo del Mont Pelve	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi della Vanoise e del Grand Arc	Massiccio della Vanoise	Gruppo del Dôme de Chasseforêt	Nodo del Mont Pelve	I/B-7.II-D.8.a
Dômes de Miage		45.816466	6.7994	45.816466,6.7994	3500	3673	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio di Trélatête > Catena Trélatête-Dômes de Miage > Gruppo dei Dômes de Miage	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio di Trélatête	Catena Trélatête-Dômes de Miage	Gruppo dei Dômes de Miage	I/B-7.V-A.1.c/a
Eiger		46.5775	8.005278	46.5775,8.005278	3500	3967	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi bernesiin senso stretto > Catena Jungfrau-Fiescherhorn > Gruppo della Jungfrau	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi bernesiin senso stretto	Catena Jungfrau-Fiescherhorn	Gruppo della Jungfrau		I/B-12.II-B.4
Gran Paradiso		45.518617	7.267284	45.518617,7.267284	4000	4061	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo del Gran Paradiso	I/B-7.IV-A.2.a
Klein Fiescherhorn		46.5555	8.075889	46.5555,8.075889	3500	3895	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Jungfrau-Fiescherhorn > Gruppo Fiescherhorn-Grünhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Jungfrau-Fiescherhorn	Gruppo Fiescherhorn-Grünhorn		I/B-12.II-B.3
Picco Gugliermina		45.820814	6.88679	45.820814,6.88679	3500	3893	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Contrafforti italiani del Monte Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Contrafforti italiani del Monte Bianco	I/B-7.V-B.2.c/d
Picco Luigi Amedeo		45.82166	6.865	45.82166,6.865	4000	4470	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Monte Bianco	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Monte Bianco	I/B-7.V-B.2.b
Picco Muzio		45.975194	7.660944	45.975194,7.660944	4000	4187	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Weisshorn e del Cervino > Catena Bouquetins-Cervino > Gruppo Dents d'Hérens-Cervino > Sottogruppo del Cervino	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Weisshorn e del Cervino	Catena Bouquetins-Cervino	Gruppo Dents d'Hérens-Cervino	Sottogruppo del Cervino	I/B-9.II-A.2.b
Punta di Valle		47.050952	11.979039	47.050952,11.979039	3000	3209	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alpi della Zillertal > Gruppo del Gran Pilastro > Catena Gran Pilastro-Punta di Valle	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alpi della Zillertal	Gruppo del Gran Pilastro	Catena Gran Pilastro-Punta di Valle		II/A-17.I-B.3
Punta Nordend		45.940625	7.869294	45.940625,7.869294	4500	4608	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Massiccio del Monte Rosa	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Massiccio del Monte Rosa		I/B-9.III-A.2
Le Pavé		44.99861	6.32389	44.99861,6.32389	3500	3823	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Meije-Râteau-Soreiller > Gruppo della Meije > Nodo del Pic Gaspard	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Meije-Râteau-Soreiller	Gruppo della Meije	Nodo del Pic Gaspard	I/A-5.III-B.7.a
Mont Ventoux		44.1667	5.2833	44.1667,5.2833	1500	1912	Alpi Occidentali > Alpi Sud-occidentali > Alpi e Prealpi di Provenza > Prealpi di Vaucluse > Monti di Vaucluse e di Lura > Catena del Mont Ventoux > Gruppo del Mont Ventoux	Alpi Occidentali	Alpi Sud-occidentali	Alpi e Prealpi di Provenza	Prealpi di Vaucluse	Monti di Vaucluse e di Lura	Catena del Mont Ventoux	Gruppo del Mont Ventoux	I/A-3.IV-A.3.a
Montagne des Agneaux		44.952487	6.42771	44.952487,6.42771	3500	3664	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio des Écrins > Catena Écrins-Grande Ruine-Agneaux > Gruppo degli Agneaux > Nodo della Montagne des Agneaux	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio des Écrins	Catena Écrins-Grande Ruine-Agneaux	Gruppo degli Agneaux	Nodo della Montagne des Agneaux	I/A-5.III-A.1.b
Pizzo Coca		46.07152	10.011541	46.07152,10.011541	3000	3052	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi bergamasche > Alpi Orobie > Alpi Orobie Orientali > Gruppo di Coca > Gruppo Scais-Redorta	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi bergamasche	Alpi Orobie	Alpi Orobie Orientali	Gruppo di Coca	Gruppo Scais-Redorta	II/C-29.I-A.2.b
Pizzo del Diavolo della Malgina		46.084861	10.046667	46.084861,10.046667	2500	2924	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi bergamasche > Alpi Orobie > Alpi Orobie Orientali > Gruppo di Coca > Gruppo del Barbellino	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi bergamasche	Alpi Orobie	Alpi Orobie Orientali	Gruppo di Coca	Gruppo del Barbellino	II/C-29.I-A.2.a
Pizzo Recastello		46.056836	10.075931	46.056836,10.075931	2500	2886	Alpi Orientali > Alpi Sud-orientali > Alpi e Prealpi bergamasche > Alpi Orobie > Alpi Orobie Orientali > Gruppo di Coca > Gruppo del Barbellino	Alpi Orientali	Alpi Sud-orientali	Alpi e Prealpi bergamasche	Alpi Orobie	Alpi Orobie Orientali	Gruppo di Coca	Gruppo del Barbellino	II/C-29.I-A.2.a
Punta Budden (Alpi Graie)		45.53913	7.270753	45.53913,7.270753	3500	3683	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Sottogruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Sottogruppo del Gran Paradiso	I/B-7.IV-A.2.a
Punta Tersiva		45.621602	7.475252	45.621602,7.475252	3500	3515	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Catena Emilius-Tersiva > Gruppo della Tersiva > Nodo della Punta Tersiva	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Catena Emilius-Tersiva	Gruppo della Tersiva	Nodo della Punta Tersiva	I/B-7.IV-C.8.a
Piramide Vincent		45.907958	7.861876	45.907958,7.861876	4000	4215	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Monte Rosa > Gruppo del Monte Rosa > Massiccio del Monte Rosa	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Monte Rosa	Gruppo del Monte Rosa	Massiccio del Monte Rosa		I/B-9.III-A.2
Weissmies		46.127778	8.011944	46.127778,8.011944	4000	4013	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Catena del Weissmies > Gruppo del Weissmies > Catena Weissmies-Lagginhorn-Fletschhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Catena del Weissmies	Gruppo del Weissmies	Catena Weissmies-Lagginhorn-Fletschhorn	I/B-9.V-C.6.a
Monte Disgrazia		46.269359	9.749479	46.269359,9.749479	3500	3678	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della Val Bregaglia > Gruppo del Disgrazia > Sottogruppo del Disgrazia	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della Val Bregaglia	Gruppo del Disgrazia	Sottogruppo del Disgrazia	II/A-15.III-B.4.a
Aiguille du Plat de la Selle		44.963611	6.222222	44.963611,6.222222	3500	3596	Alpi Occidentali > Alpi Sud-occidentali > Alpi del Delfinato > Massiccio degli Écrins > Catena Meije-Râteau-Soreiller > Massiccio del Soreiller	Alpi Occidentali	Alpi Sud-occidentali	Alpi del Delfinato	Massiccio degli Écrins	Catena Meije-Râteau-Soreiller	Massiccio del Soreiller		I/A-5.III-B.9
Becco di Mezzodì		46.466464	12.114464	46.466464,12.114464	2500	2603	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Ampezzane > Gruppo della Croda da Lago-Cernera > Gruppo della Croda da Lago	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Ampezzane	Gruppo della Croda da Lago-Cernera	Gruppo della Croda da Lago	II/C-31.I-D.15
Brec de Chambeyron		44.526944	6.852778	44.526944,6.852778	3000	3389	Alpi Occidentali > Alpi Sud-occidentali > Alpi Cozie > Alpi del Monviso > Gruppo del Chambeyron > Gruppo del Chambeyronpropriamente detto > Cresta Monte Sautron-Monte Chambeyron	Alpi Occidentali	Alpi Sud-occidentali	Alpi Cozie	Alpi del Monviso	Gruppo del Chambeyron	Gruppo del Chambeyronpropriamente detto	Cresta Monte Sautron-Monte Chambeyron	I/A-4.I-A.1.b
Breithorn (Lauterbrunnen)		46.478417	7.876583	46.478417,7.876583	3500	3780	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Gletscherhorn-Blümlisalp-Balmhorn > Gruppo Gletscherhorn-Hockenhorn > Gruppo Gletscherhorn-Mittaghorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Gletscherhorn-Blümlisalp-Balmhorn	Gruppo Gletscherhorn-Hockenhorn	Gruppo Gletscherhorn-Mittaghorn	I/B-12.II-D.9.a
Campanile Basso		46.154167	10.898611	46.154167,10.898611	2500	2877	Alpi Orientali > Alpi Sud-orientali > Alpi Retiche meridionali > Dolomiti di Brenta > Gruppo di Brenta e della Paganella > Gruppo di Brenta > Gruppo centrale di Brenta	Alpi Orientali	Alpi Sud-orientali	Alpi Retiche meridionali	Dolomiti di Brenta	Gruppo di Brenta e della Paganella	Gruppo di Brenta	Gruppo centrale di Brenta	II/C-28.IV-A.1.e
Fletschhorn		46.167778	8.003056	46.167778,8.003056	3500	3993	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Catena del Weissmies > Gruppo del Weissmies > Catena Weissmies-Lagginhorn-Fletschhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Catena del Weissmies	Gruppo del Weissmies	Catena Weissmies-Lagginhorn-Fletschhorn	I/B-9.V-C.6.a
Galenstock		46.611243	8.416901	46.611243,8.416901	3500	3583	Alpi Occidentali > Alpi Nord-occidentali > Alpi bernesi > Alpi Urane > Gruppo del Dammastock-Sustenhorn > Gruppo del Dammastock > Catena del Galenstock	Alpi Occidentali	Alpi Nord-occidentali	Alpi bernesi	Alpi Urane	Gruppo del Dammastock-Sustenhorn	Gruppo del Dammastock	Catena del Galenstock	I/B-12.I-A.1.a
Grünhorn		46.532	8.07772	46.532,8.07772	4000	4043	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Jungfrau-Fiescherhorn > Gruppo Fiescherhorn-Grünhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Jungfrau-Fiescherhorn	Gruppo Fiescherhorn-Grünhorn		I/B-12.II-B.3
Mont Blanc du Tacul		45.856667	6.887778	45.856667,6.887778	4000	4248	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Monte Bianco > Massiccio del Monte Bianco > Gruppo del Monte Bianco > Gruppo del Mont Blanc du Tacul	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Monte Bianco	Massiccio del Monte Bianco	Gruppo del Monte Bianco	Gruppo del Mont Blanc du Tacul	I/B-7.V-B.2.e
Punta Rossa della Grivola		45.591699	7.2786	45.591699,7.2786	3500	3630	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Grivola-Gran Serra > Gruppo della Grivola	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Grivola-Gran Serra	Gruppo della Grivola	I/B-7.IV-A.3.b
Rimpfischhorn		46.023056	7.883889	46.023056,7.883889	4000	4199	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Massiccio dello Strahlhorn > Gruppo Strahlhorn - Allalinhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Massiccio dello Strahlhorn	Gruppo Strahlhorn - Allalinhorn	I/B-9.V-A.1.a
Cimon della Pala		46.286944	11.819167	46.286944,11.819167	3000	3184	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Feltre e delle Pale di San Martino > Gruppo Pale di San Martino-Feruc > Pale di San Martino > Gruppo del Cimon della Pala	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Feltre e delle Pale di San Martino	Gruppo Pale di San Martino-Feruc	Pale di San Martino	Gruppo del Cimon della Pala	II/C-31.IV-A.1.f
Becca di Moncorvé		45.5135	7.2659	45.5135,7.2659	3500	3875	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi del Gran Paradiso > Massiccio del Gran Paradiso > Gruppo Gran Paradiso-Roccia Viva > Gruppo del Gran Paradiso	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi del Gran Paradiso	Massiccio del Gran Paradiso	Gruppo Gran Paradiso-Roccia Viva	Gruppo del Gran Paradiso	I/B-7.IV-A.2.a
Levanna Occidentale		45.41421	7.16125	45.41421,7.16125	3500	3593	Alpi Occidentali > Alpi Nord-occidentali > Alpi Graie > Alpi di Lanzo e dell'Alta Moriana > Catena Levanne-Aiguille Rousse > Gruppo delle Levanne > Nodo delle Levanne	Alpi Occidentali	Alpi Nord-occidentali	Alpi Graie	Alpi di Lanzo e dell'Alta Moriana	Catena Levanne-Aiguille Rousse	Gruppo delle Levanne	Nodo delle Levanne	I/B-7.I-C.8.a
Wildstrubel		46.400278	7.528611	46.400278,7.528611	3000	3243	Alpi Occidentali > Alpi Nord-occidentali > Alpi Bernesi > Alpi Bernesiin senso stretto > Catena Wildhorn-Wildstrubel > Gruppo Wildstrubel-Lohner > Gruppo del Wildstrubel	Alpi Occidentali	Alpi Nord-occidentali	Alpi Bernesi	Alpi Bernesiin senso stretto	Catena Wildhorn-Wildstrubel	Gruppo Wildstrubel-Lohner	Gruppo del Wildstrubel	I/B-12.II-F.15.a
Piz Popena		46.576799	12.20782	46.576799,12.20782	3000	3152	Alpi Orientali > Alpi Sud-orientali > Dolomiti > Dolomiti di Sesto, di Braies e d'Ampezzo > Dolomiti Ampezzane > Gruppo del Cristallo > Sottogruppo del Popena	Alpi Orientali	Alpi Sud-orientali	Dolomiti	Dolomiti di Sesto, di Braies e d'Ampezzo	Dolomiti Ampezzane	Gruppo del Cristallo	Sottogruppo del Popena	II/C-31.I-D.18.a
Alphubel		46.06352	7.864108	46.06352,7.864108	4000	4206	Alpi Occidentali > Alpi Nord-occidentali > Alpi Pennine > Alpi del Mischabel e del Weissmies > Massiccio del Mischabel > Massiccio dello Strahlhorn > Gruppo Strahlhorn - Allalinhorn	Alpi Occidentali	Alpi Nord-occidentali	Alpi Pennine	Alpi del Mischabel e del Weissmies	Massiccio del Mischabel	Massiccio dello Strahlhorn	Gruppo Strahlhorn - Allalinhorn	I/B-9.V-A.1.a
Pioda di Sciora		46.3031	9.62758	46.3031,9.62758	3000	3236	Alpi Orientali > Alpi Centro-orientali > Alpi Retiche occidentali > Alpi del Bernina > Monti della Val Bregaglia > Gruppo del Castello > Costiera Sciora-Cacciabella	Alpi Orientali	Alpi Centro-orientali	Alpi Retiche occidentali	Alpi del Bernina	Monti della Val Bregaglia	Gruppo del Castello	Costiera Sciora-Cacciabella	II/A-15.III-B.3.d
Cima di Moia		46.971111	12.045556	46.971111,12.045556	3000	3010	Alpi Orientali > Alpi Centro-orientali > Alpi dei Tauri occidentali > Alti Tauri > Gruppo del Venediger > Gruppo Cima Dura-Monti di Predoi > Gruppo della Cima Dura	Alpi Orientali	Alpi Centro-orientali	Alpi dei Tauri occidentali	Alti Tauri	Gruppo del Venediger	Gruppo Cima Dura-Monti di Predoi	Gruppo della Cima Dura	II/A-17.II-A.2.b
