Titolo	Location	Tipologia del luogo	Tipologia dello Spazio	Temporalità dello Spazio	Definizione dello spazio	Note sullo spazio	Interpretazione	osm_id	lat_long
Il concerto del viale dei lecci	Forlì	città	Aperto > Urbano > Città					42907	44.2227278,12.0412730
Romanzo senza umani									
Il cedro del Libano									
Tundra e Peive		città	Aperto > Urbano > Città						
Prima della rivolta	Milano	città	Aperto > Urbano > Città					44915	45.4641943,9.1896346
Una voce dal profondo	Italia							365331	42.6384261,12.6742970
L'impronta		bosco	Aperto > Naturale > Arboreo > Bosco						
Il fuoco invisibile. Storia umana di un disastro naturale									
La compagnia del gelso									
All'ombra del ricino									
Vita immaginaria di un alloro									
L'ultima foresta	Foresta di Białowieża	bosco, campagna	Aperto > Naturale > Arboreo > Bosco; Aperto > Naturale > Rurale > Campagna					14705359	52.8649192,23.8810102
Scintilla		bosco	Aperto > Naturale > Arboreo > Bosco						
Atlante Appennino. Un'ecobiografia	Appennino settentrionale	montagna	Aperto > Naturale > Rilievo > Montagna					276532495	44.3378141,11.2027931
Il ritorno è lontano									
Il ritorno è lontano	Alpi	montagna, paese	Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese					2698607	45.9083263,9.1420628
Il predatore	Cimalta (inventato)	montagna, paese	Aperto > Naturale > Rilievo > Montagna; Aperto > Urbano > Paese						38.7200, -24.2200
Il carrubo e l'unità di misura del diamante	Sicilia	campagna	Aperto > Naturale > Rurale > Campagna					39152	37.5877940,14.1550480
L'agave della Regina Vittoria	Italia settentrionale	città, paese	Aperto > Urbano > Città; Aperto > Urbano > Paese					33890846	41.8996571,12.3826951
L'agave della Regina Vittoria	Inghilterra	città, paese	Aperto > Urbano > Città; Aperto > Urbano > Paese					58447	52.5310214,-1.2649062
La nuvola di smog, La speculazione edilizia									
L'agave della Regina Vittoria	Mentone	città, paese	Aperto > Urbano > Città; Aperto > Urbano > Paese					74727	43.7753495,7.5029213
